本表記載朱邦復工作室下載頁面「http://www.cbflabs.com/down/show.php?id=」，「=」後的 ID 與標題對照。

ID	標題
466	白露(風磬)
467	立冬(風磬)
468	霜降(風磬)
469	動畫-鬼話ＮＧ
470	李英瓊道白
471	動畫：母虎
472	動畫：無妄之災－第３３場
473	動畫：表情測試
474	立體幻境圖
475	立體幻影avi
476	DANNY 3-10
477	無妄之災穿幫鏡頭-雜耍
478	無妄之災穿幫鏡頭-鬥雞眼
479	丹尼兒
480	文傳字庫手冊
482	三維試驗
483	智慧學
484	夢2010-pdf
485	夢2010-mp3
486	凱洛琳交響詩-pdf
487	字庫測試程式
488	字庫資料
489	小鄧
490	旋轉演員（小鄧、娜妲麗華、納娥米）
491	八段錦
492	獻寶記
493	開放文學2005-大說小說 文字檔[網友 九洲 製作] 
494	開放文學課程 2004- 文字檔[網友 九洲 製作] 
495	智慧學九論-觀念論-1997 文字檔[網友 九洲 製作] 
496	來文照登-肖飛_2011
497	《智慧學》 網絡略本
498	五千會意字初稿
499	了了歌
500	嗯啊曲
501	「陋室銘」第二版
502	漢字基因五體對照表
503	易經明道錄 html-utf8
504	組合語言的藝術 html-utf8
505	巴西狂歡節 html-utf8
506	老子止笑譚 html-utf8
507	字易 html-utf8
508	宇宙浪子 html-utf8
509	智慧學九論html-utf8
510	漢字基因字典html-utf8
511	網上雜文 html-utf8
512	東尼！東尼！html-utf8
513	層次論html-utf8
514	層次論 (1974年版)html-utf8
515	多媒體劇作導論html-utf8
516	倉頡輸入法與字形產生器html-utf8
517	「陋室銘」第三版
518	漢字基因字典MDict版[阿文提供]
519	看圖識字 第一集
520	看圖識字 第二集
521	看圖識字 第三集
522	看圖識字 第四集
523	看圖識字 第五集
524	看圖識字錄  上集
525	看圖識字錄  下集
526	中文理解説明
527	中文理解系統簡介
528	漢字基因-第二十五講
529	漢字基因-第二十六講
530	漢字基因-第二十七講
531	漢字基因-第二十八講
532	漢字基因-第二十九講
533	漢字基因-第三十講
